Time(s),Current(A),Voltage(V)
3860.0,3.899900816357671,2.232013427939
3870.0,3.899977111467155,2.23186083772
3880.0,3.899900816357671,2.23186083772
3890.0,3.899824521248188,2.232013427939
3900.0,3.899977111467155,2.232166018158
3910.0,3.899900816357671,2.232166018158
3920.0,3.899977111467155,2.232166018158
3930.0,3.899977111467155,2.232166018158
3940.0,3.899824521248188,2.232318608377
3950.0,3.899977111467155,2.232318608377
3960.0,3.9001297016861223,2.232318608377
3970.0,3.899977111467155,2.232318608377
3980.0,3.899900816357671,2.232623788815
3990.0,3.9001297016861223,2.232623788815
4000.0,3.900053406576638,2.232623788815
4010.0,3.899748226138704,2.232623788815
4020.0,3.899977111467155,2.232623788815
4030.0,3.899900816357671,2.232623788815
4040.0,3.899900816357671,2.232623788815
4050.0,3.899900816357671,2.232928969253
4060.0,3.899977111467155,2.232928969253
4070.0,3.899824521248188,2.232928969253
4080.0,3.900053406576638,2.233081559472
4090.0,3.9001297016861223,2.233081559472
4100.0,3.899977111467155,2.23338673991
4110.0,3.899900816357671,2.233081559472
4120.0,3.9002059967956053,2.23338673991
4130.0,3.899977111467155,2.23338673991
4140.0,3.899900816357671,2.233539330129
4150.0,3.899900816357671,2.233234149691
4160.0,3.900053406576638,2.233539330129
4170.0,3.900053406576638,2.23338673991
4180.0,3.899977111467155,2.233539330129
4190.0,3.899900816357671,2.233539330129
4200.0,3.899977111467155,2.233539330129
4210.0,3.899900816357671,2.233691920348
4220.0,3.899824521248188,2.233691920348
4230.0,3.899824521248188,2.233691920348
4240.0,3.899900816357671,2.233844510567
4250.0,3.899900816357671,2.233844510567
4260.0,3.899977111467155,2.233844510567
4270.0,3.899977111467155,2.233691920348
4280.0,3.899900816357671,2.233844510567
4290.0,3.899977111467155,2.233997100786
4300.0,3.899900816357671,2.233997100786
4310.0,3.899977111467155,2.233844510567
4320.0,3.899824521248188,2.234149691005
4330.0,3.899977111467155,2.234149691005
4340.0,3.899900816357671,2.234149691005
4350.0,3.899824521248188,2.233997100786
4360.0,3.899900816357671,2.234302281224
4370.0,3.899900816357671,2.234302281224
4380.0,3.899824521248188,2.234302281224
4390.0,3.899824521248188,2.234454871443
4400.0,3.900053406576638,2.234607461662
4410.0,3.899977111467155,2.234454871443
4420.0,3.899900816357671,2.234607461662
4430.0,3.899900816357671,2.234454871443
4440.0,3.900053406576638,2.234607461662
4450.0,3.899977111467155,2.234607461662
4460.0,3.899748226138704,2.234760051881
4470.0,3.899748226138704,2.234760051881
4480.0,3.899977111467155,2.234760051881
4490.0,3.900053406576638,2.2349126421
4500.0,3.899977111467155,2.2349126421
4510.0,3.899900816357671,2.235065232319
4520.0,3.900053406576638,2.2349126421
4530.0,3.899900816357671,2.2349126421
4540.0,3.899977111467155,2.235065232319
4550.0,3.900053406576638,2.235217822538
4560.0,3.9002059967956053,2.235370412757
4570.0,3.899977111467155,2.235065232319
4580.0,3.899824521248188,2.235370412757
4590.0,3.899900816357671,2.235370412757
4600.0,3.899824521248188,2.235217822538
4610.0,3.899900816357671,2.235217822538
4620.0,3.899977111467155,2.235523002976
4630.0,3.899977111467155,2.235523002976
4640.0,3.899977111467155,2.235370412757
4650.0,3.899977111467155,2.235370412757
4660.0,3.900053406576638,2.235675593194
4670.0,3.899977111467155,2.235675593194
4680.0,3.899824521248188,2.235523002976
4690.0,3.899748226138704,2.235828183413
4700.0,3.899900816357671,2.235980773632
4710.0,3.899748226138704,2.235675593194
4720.0,3.899824521248188,2.235675593194
4730.0,3.899900816357671,2.235980773632
4740.0,3.899824521248188,2.236133363851
4750.0,3.900053406576638,2.235980773632
4760.0,3.899900816357671,2.236133363851
4770.0,3.899900816357671,2.23628595407
4780.0,3.9001297016861223,2.236133363851
